transaction_id,player_id,tricode,type,date,notes
1979-EDM-3-8449573,8449573,EDM,DRAFTED,1979-08-09,"On 1979-08-09, with the 48th overall pick in the 3rd round of the 1979 draft, EDM selected Mark Messier, a WHA forward playing for the Cincinnati Stingers."
1979-CHI-3-8447039,8447039,CHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 49th overall pick in the 3rd round of the 1979 draft, CHI selected Bill Gardner, a OHA forward playing for the Peterborough Petes."
1979-LAK-3-8448435,8448435,LAK,DRAFTED,1979-08-09,"On 1979-08-09, with the 50th overall pick in the 3rd round of the 1979 draft, LAK selected John Paul Kelly, a WHL forward playing for the New Westminster Bruins."
1979-TOR-3-8445167,8445167,TOR,DRAFTED,1979-08-09,"On 1979-08-09, with the 51st overall pick in the 3rd round of the 1979 draft, TOR selected Norm Aubin, a QMJHL forward playing for the Verdun Black Hawks."
1979-PIT-3-8452521,8452521,PIT,DRAFTED,1979-08-09,"On 1979-08-09, with the 52nd overall pick in the 3rd round of the 1979 draft, PIT selected Bennett Wolf, a OHA defenseman playing for the Kitchener Rangers."
1979-BUF-3-8457827,8457827,BUF,DRAFTED,1979-08-09,"On 1979-08-09, with the 53rd overall pick in the 3rd round of the 1979 draft, BUF selected Mark Robinson, a WHL defenseman playing for the Victoria Cougars."
1979-AFM-3-8448118,8448118,AFM,DRAFTED,1979-08-09,"On 1979-08-09, with the 54th overall pick in the 3rd round of the 1979 draft, AFM selected Tim Hunter, a WHL forward playing for the Seattle Breakers."
1979-BUF-3-8446089,8446089,BUF,DRAFTED,1979-08-09,"On 1979-08-09, with the 55th overall pick in the 3rd round of the 1979 draft, BUF selected Jacques Cloutier, a QMJHL goalie playing for the Trois Rivieres Draveurs."
1979-PHI-3-8446007,8446007,PHI,DRAFTED,1979-08-09,"On 1979-08-09, with the 56th overall pick in the 3rd round of the 1979 draft, PHI selected Lindsay Carson, a WHL forward playing for the Billings Bighorns."
1979-BOS-3-8446242,8446242,BOS,DRAFTED,1979-08-09,"On 1979-08-09, with the 57th overall pick in the 3rd round of the 1979 draft, BOS selected Keith Crowder, a OHA forward playing for the Peterborough Petes."
