staff_id,nhl_id,start_date,end_date,team,role
CCSTA2_352,1285,1967-10-11,1969-03-30,PIT,head_coach
CCSTA2_289,1187,1979-10-10,1980-12-10,WIN,head_coach
CCSTA2_243,1124,1992-10-06,1995-11-05,HFD,head_coach
CCSTA2_169,1017,1992-10-31,1994-04-14,STL,head_coach
CCSTA2_216,1080,1980-10-09,1980-10-19,QUE,head_coach
CCSTA2_295,1201,1985-10-10,1985-12-29,DET,head_coach
CCSTA2_265,1152,1995-10-20,1995-10-20,MTL,head_coach
CCSTA2_223,1092,1972-10-07,1975-02-02,AFM,head_coach
CCSTA2_285,1183,1978-10-12,1984-04-01,PHI,head_coach
CCSTA2_306,1220,1988-12-17,1989-04-02,QUE,head_coach
CCSTA2_289,1187,1975-12-31,1978-04-09,WSH,head_coach
CCSTA2_271,1161,1995-01-20,1996-03-27,VAN,head_coach
CCSTA2_482,1797,2021-10-14,2024-04-17,ARI,head_coach
CCSTA2_324,1245,1996-12-19,1997-01-05,STL,head_coach
CCSTA2_264,1150,1917-12-19,1934-12-29,MTL,head_coach
CCSTA2_286,1184,1971-11-03,1971-12-22,STL,head_coach
CCSTA2_320,1240,1923-12-15,1924-01-16,HAM,head_coach
CCSTA2_329,1253,1985-10-10,1986-11-19,NYR,head_coach
CCSTA2_254,1135,1981-11-30,1982-04-03,CLR,head_coach
CCSTA2_326,1248,1927-02-17,1927-03-26,TSP,head_coach
CCSTA2_259,1144,1991-10-04,1993-04-15,SJS,head_coach
CCSTA2_206,1069,1991-12-05,1993-04-16,PHI,head_coach
CCSTA2_536,1857,1972-01-13,1974-04-07,BUF,head_coach
CCSTA2_148,149,2018-10-03,2019-11-25,CGY,head_coach
CCSTA2_347,1274,1978-11-08,1987-04-04,MNS,head_coach
CCSTA2_237,1111,1974-10-09,1976-01-17,KCS,head_coach
CCSTA2_343,1270,1972-01-09,1977-04-03,BUF,head_coach
CCSTA2_336,1263,1995-04-05,1996-04-14,WIN,head_coach
CCSTA2_229,1100,1934-11-13,1938-03-17,MMR,head_coach
CCSTA2_157,1001,1958-01-04,1970-04-05,DET,head_coach
CCSTA2_411,1691,2021-12-17,2022-05-01,WPG,head_coach
CCSTA2_174,1022,1974-02-07,1976-01-15,PIT,head_coach
CCSTA2_369,1314,1969-12-15,1970-04-04,LAK,head_coach
CCSTA2_177,1025,1933-11-11,1935-03-19,SLE,head_coach
CCSTA2_196,1057,1987-10-08,1988-04-03,PIT,head_coach
